step,reward,seed,ucb,lcb
0,0.04000000059604645,0,0.1393331219325266,-0.0593331207404337
100000,943.5400146484375,0,979.9649987085086,907.1150305883664
200000,982.42001953125,0,987.1523050813357,977.6877339811642
300000,982.1799926757812,0,987.8685944268849,976.4913909246776
400000,984.4,0,986.5203068749234,982.2796931250765
500000,985.2,0,987.4169742620164,982.9830257379837
600000,985.0799926757812,0,986.5583598727678,983.6016254787946
700000,983.839990234375,0,987.3533574678153,980.3266230009348
800000,965.3799926757813,0,1013.50424253049,917.2557428210725
900000,984.3800048828125,0,989.8232105226301,978.9367992429949
1000000,984.0599975585938,0,988.9374460556295,979.182549061558
