step,reward,seed,ucb,lcb
0,52.41999969482422,0,70.54598019907466,34.29401919057378
100000,794.2,0,893.7054063639512,694.6945936360489
200000,960.6400146484375,0,995.7676264915056,925.5124028053694
300000,921.3,0,1024.5136118426199,818.0863881573799
400000,938.0799926757812,0,999.3056121490001,876.8543732025623
500000,968.7400024414062,0,979.785536521261,957.6944683615515
600000,961.9199951171875,0,1007.2275362947385,916.6124539396365
700000,983.5200073242188,0,985.7979164305034,981.2420982179342
800000,925.5400024414063,0,982.9446628767681,868.1353420060444
900000,977.8599975585937,0,984.2853392150216,971.4346559021658
1000000,982.9199951171875,0,987.3639696557225,978.4760205786524
