step,reward,seed,ucb,lcb
0,2.070541763305664,0,2.6711865087723488,1.4698970178389792
100000,212.66838684082032,0,337.36420090951225,87.9725727721284
200000,872.0396850585937,0,972.9541324102664,771.125237706921
300000,907.6286743164062,0,964.201449991837,851.0558986409754
400000,923.4937133789062,0,959.7790527329968,887.2083740248157
500000,914.6399536132812,0,978.7376327781936,850.5422744483689
600000,947.0761840820312,0,952.977616115461,941.1747520486014
700000,895.01328125,0,951.479673094276,838.546889405724
800000,953.7197509765625,0,959.533062527619,947.906439425506
900000,951.966015625,0,959.9083566331424,944.0236746168575
1000000,955.2698120117187,0,961.619822054931,948.9198019685065
